epoch_ms,ac_online,charging,charge_rate_mw,remaining_mwh,processor_performance_pct
1789471811628,True,False,0,31781,111.3
1789471812666,True,False,0,31781,97.5
1789471813697,True,False,0,31781,101.9
1789471814730,True,False,0,31781,181.7
1789471815754,True,False,0,31781,189.2
1789471816777,True,False,0,31781,309.9
1789471817803,True,False,0,31781,278.3
1789471818833,True,False,0,31781,274.3
1789471819857,True,False,0,31781,308.7
1789471820883,True,False,0,31781,306.3
1789471821915,True,False,0,31781,310.5
1789471822934,True,False,0,31781,303.3
1789471823966,True,False,0,31781,308.5
1789471824994,True,False,0,31781,286.7
1789471826020,True,False,0,31781,300.7
1789471827048,True,False,0,31781,308.5
1789471828078,True,False,0,31781,281.2
1789471829104,True,False,0,31781,250.9
1789471830136,True,False,0,31781,186.4
1789471831157,True,False,0,31781,234.7
1789471832196,True,False,0,31781,289.8
1789471833213,True,False,0,31781,283.9
1789471834235,True,False,0,31781,227.4
1789471835252,True,False,0,31781,272.4
1789471836274,True,False,0,31781,279.1
1789471837300,True,False,0,31781,284.2
1789471838325,True,False,0,31781,283.8
1789471839351,True,False,0,31781,280.5
1789471840380,True,False,0,31781,278.7
1789471841404,True,False,0,31781,279.4
1789471842439,True,False,0,31781,280.1
1789471843471,True,False,0,31781,278.9
1789471844494,True,False,0,31781,272.5
1789471845524,True,False,0,31781,274.0
1789471846548,True,False,0,31781,276.9
1789471847581,True,False,0,31781,280.1
1789471848604,True,False,0,31781,276.7
1789471849629,True,False,0,31781,279.9
1789471850652,True,False,0,31781,286.3
1789471851678,True,False,0,31781,283.3
1789471852712,True,False,0,31781,266.2
1789471853747,True,False,0,31781,277.6
1789471854769,True,False,0,31781,287.2
1789471855794,True,False,0,31781,228.7
1789471856821,True,False,0,31781,138.3
1789471857852,True,False,0,31781,102.0
