epoch_ms,ac_online,charging,charge_rate_mw,remaining_mwh,processor_performance_pct
1789471893944,True,False,0,31781,128.6
1789471894970,True,False,0,31781,158.3
1789471896003,True,False,0,31781,161.3
1789471897031,True,False,0,31781,177.7
1789471898063,True,False,0,31781,191.3
1789471899087,True,False,0,31781,312.8
1789471900118,True,False,0,31781,310.9
1789471901145,True,False,0,31781,303.5
1789471902165,True,False,0,31781,300.4
1789471903173,True,False,0,31781,265.6
1789471904228,True,False,0,31781,274.8
1789471905255,True,False,0,31781,269.3
1789471906280,True,False,0,31781,279.8
1789471907311,True,False,0,31781,275.9
1789471908337,True,False,0,31781,275.2
1789471909378,True,False,0,31781,277.8
1789471910405,True,False,0,31781,277.9
1789471911427,True,False,0,31781,281.0
1789471912449,True,False,0,31781,276.0
1789471913467,True,False,0,31781,236.5
1789471914499,True,False,0,31781,279.0
1789471915520,True,False,0,31781,239.3
1789471916536,True,False,0,31781,213.2
1789471917565,True,False,0,31781,271.1
1789471918583,True,False,0,31781,254.0
1789471919605,True,False,0,31781,206.5
1789471920634,True,False,0,31781,184.6
1789471921650,True,False,0,31781,267.6
1789471922676,True,False,0,31781,274.4
1789471923691,True,False,0,31781,274.9
1789471924726,True,False,0,31781,222.6
1789471925749,True,False,0,31781,246.1
1789471926768,True,False,0,31781,256.9
1789471927787,True,False,0,31781,268.3
1789471928807,True,False,0,31781,278.7
1789471929840,True,False,0,31781,269.5
1789471930862,True,False,0,31781,252.6
1789471931888,True,False,0,31781,264.3
1789471932918,True,False,0,31781,240.8
1789471933940,True,False,0,31781,277.3
1789471934963,True,False,0,31781,272.1
1789471935998,True,False,0,31781,258.6
1789471937018,True,False,0,31781,274.1
1789471938051,True,False,0,31781,187.0
1789471939083,True,False,0,31781,168.1
1789471940119,True,False,0,31781,104.4
1789471941148,True,False,0,31781,109.5
